bar: 0  ==Tempo_92        | D#_o7           | Beat_1          | Note            | Note_Pitch_62   | Note_Duration_120 | Note_Velocity_112 | 0               |
bar: 0  ==Tempo_83        | 0               | 0               | Note            | Note_Pitch_57   | Note_Duration_840 | Note_Velocity_110 | 0               |
bar: 0  ==Tempo_59        | F#_M7           | 0               | Note            | Note_Pitch_68   | Note_Duration_0 | Note_Velocity_112 | 0               |
bar: 0  ==Tempo_116       | CONTI           | Beat_9          | Note            | Note_Pitch_35   | Note_Duration_0 | Note_Velocity_108 | 0               |
bar: 0  ==Tempo_50        | C_M             | Beat_14         | Note            | Note_Pitch_32   | Note_Duration_1440 | Note_Velocity_96 | 0               |
bar: 0  ==Tempo_101       | 0               | Beat_2          | EOS             | Note_Pitch_43   | Note_Duration_1200 | Note_Velocity_96 | 0               |
bar: 0  ==Tempo_119       | F#_sus4         | Bar             | Emotion         | Note_Pitch_43   | Note_Duration_600 | Note_Velocity_82 | 0               |
bar: 1  ==Tempo_119       | 0               | 0               | Emotion         | Note_Pitch_34   | Note_Duration_1680 | Note_Velocity_94 | 0               |
bar: 1  ==Tempo_68        | 0               | Bar             | Note            | Note_Pitch_33   | 0               | Note_Velocity_52 | 0               |
bar: 2  ==Tempo_80        | G_sus2          | Beat_1          | Note            | 0               | Note_Duration_720 | Note_Velocity_62 | 0               |
bar: 2  ==Tempo_77        | G_/o7           | Beat_14         | Emotion         | Note_Pitch_71   | Note_Duration_0 | Note_Velocity_44 | 0               |
bar: 2  ==Tempo_50        | D#_/o7          | Beat_1          | EOS             | Note_Pitch_71   | Note_Duration_0 | Note_Velocity_120 | 0               |
bar: 2  ==Tempo_131       | C_M7            | Beat_7          | EOS             | Note_Pitch_59   | Note_Duration_0 | Note_Velocity_78 | 0               |
bar: 2  ==Tempo_56        | G#_M7           | 0               | EOS             | Note_Pitch_48   | Note_Duration_480 | Note_Velocity_72 | 0               |
bar: 2  ==Tempo_149       | F_m             | Bar             | Emotion         | Note_Pitch_48   | Note_Duration_240 | 0               | 0               |
bar: 3  ==Tempo_140       | C_m7            | Beat_6          | Note            | Note_Pitch_62   | Note_Duration_240 | Note_Velocity_78 | 0               |
bar: 3  ==Tempo_140       | F_M             | Beat_10         | Emotion         | Note_Pitch_62   | Note_Duration_240 | Note_Velocity_70 | 0               |
bar: 3  ==Tempo_128       | F_7             | Bar             | EOS             | Note_Pitch_70   | 0               | Note_Velocity_94 | 0               |
bar: 3  ==Tempo_200       | B_o             | Beat_4          | EOS             | Note_Pitch_64   | Note_Duration_840 | Note_Velocity_52 | 0               |
bar: 3  ==Tempo_200       | F_M             | Beat_14         | Note            | Note_Pitch_71   | Note_Duration_1560 | Note_Velocity_60 | 0               |
bar: 3  ==Tempo_62        | D#_M            | Beat_15         | Emotion         | Note_Pitch_90   | Note_Duration_1560 | Note_Velocity_64 | 0               |
bar: 3  ==Tempo_41        | F#_sus4         | 0               | Note            | Note_Pitch_64   | Note_Duration_1560 | Note_Velocity_114 | 0               |
bar: 3  ==Tempo_194       | N_N             | Beat_14         | Note            | Note_Pitch_64   | Note_Duration_240 | Note_Velocity_80 | 0               |
bar: 3  ==Tempo_53        | N_N             | Beat_9          | Metrical        | Note_Pitch_34   | Note_Duration_1920 | Note_Velocity_88 | 0               |
bar: 3  ==Tempo_89        | F_7             | Beat_7          | EOS             | Note_Pitch_90   | Note_Duration_480 | Note_Velocity_72 | 0               |
bar: 3  ==Tempo_74        | G_+             | Beat_13         | Note            | Note_Pitch_34   | Note_Duration_480 | Note_Velocity_60 | 0               |
bar: 3  ==Tempo_68        | 0               | Beat_2          | Note            | Note_Pitch_90   | Note_Duration_480 | Note_Velocity_56 | 0               |
bar: 3  ==CONTI           | G#_M7           | Beat_13         | Emotion         | Note_Pitch_90   | Note_Duration_240 | Note_Velocity_82 | 0               |
bar: 3  ==Tempo_47        | B_M7            | Beat_7          | Metrical        | Note_Pitch_90   | Note_Duration_360 | Note_Velocity_104 | 0               |
