bar: 1  ==Tempo_62        | D#_m7           | Beat_0          | Metrical        | 0               | 0               | 0               | 0               |
bar: 1  ==0               | 0               | 0               | Note            | Note_Pitch_39   | Note_Duration_600 | Note_Velocity_62 | 0               |
bar: 1  ==0               | 0               | 0               | Note            | Note_Pitch_71   | Note_Duration_960 | Note_Velocity_100 | 0               |
bar: 1  ==Tempo_59        | CONTI           | Beat_2          | Metrical        | 0               | 0               | Note_Velocity_116 | 0               |
bar: 1  ==0               | 0               | 0               | Note            | Note_Pitch_47   | Note_Duration_120 | Note_Velocity_74 | 0               |
bar: 1  ==0               | 0               | 0               | Note            | Note_Pitch_35   | Note_Duration_1440 | Note_Velocity_110 | 0               |
bar: 1  ==0               | 0               | 0               | Note            | Note_Pitch_35   | Note_Duration_0 | Note_Velocity_82 | 0               |
bar: 1  ==Tempo_62        | CONTI           | Beat_1          | Metrical        | 0               | 0               | Note_Velocity_78 | 0               |
bar: 1  ==0               | 0               | 0               | Note            | Note_Pitch_59   | Note_Duration_120 | 0               | 0               |
bar: 1  ==CONTI           | CONTI           | Beat_1          | Metrical        | 0               | 0               | 0               | 0               |
bar: 1  ==0               | 0               | 0               | Note            | Note_Pitch_40   | Note_Duration_120 | Note_Velocity_62 | 0               |
bar: 1  ==0               | 0               | 0               | Note            | Note_Pitch_28   | Note_Duration_120 | Note_Velocity_58 | 0               |
bar: 1  ==0               | 0               | 0               | Note            | Note_Pitch_71   | Note_Duration_120 | Note_Velocity_78 | 0               |
bar: 1  ==CONTI           | CONTI           | Beat_1          | Metrical        | 0               | 0               | 0               | 0               |
bar: 1  ==0               | 0               | 0               | Note            | Note_Pitch_28   | Note_Duration_0 | Note_Velocity_50 | 0               |
bar: 1  ==CONTI           | CONTI           | Beat_3          | Metrical        | 0               | 0               | Note_Velocity_44 | 0               |
bar: 1  ==0               | 0               | 0               | Note            | Note_Pitch_59   | Note_Duration_1560 | Note_Velocity_68 | 0               |
bar: 1  ==Tempo_71        | CONTI           | Beat_4          | Metrical        | 0               | 0               | Note_Velocity_80 | 0               |
bar: 1  ==0               | 0               | 0               | Note            | Note_Pitch_59   | Note_Duration_0 | Note_Velocity_88 | 0               |
bar: 1  ==0               | 0               | 0               | Note            | Note_Pitch_47   | Note_Duration_120 | Note_Velocity_90 | 0               |
bar: 1  ==0               | 0               | 0               | Note            | Note_Pitch_35   | Note_Duration_120 | Note_Velocity_82 | 0               |
bar: 1  ==Tempo_77        | CONTI           | Beat_6          | Metrical        | 0               | 0               | 0               | 0               |
bar: 1  ==0               | 0               | 0               | Note            | Note_Pitch_40   | Note_Duration_960 | Note_Velocity_40 | 0               |
bar: 1  ==Tempo_89        | D_M             | Beat_7          | Metrical        | 0               | 0               | Note_Velocity_60 | 0               |
bar: 1  ==0               | 0               | 0               | Note            | Note_Pitch_50   | Note_Duration_120 | Note_Velocity_50 | 0               |
bar: 1  ==Tempo_56        | CONTI           | Beat_7          | Metrical        | 0               | 0               | Note_Velocity_112 | 0               |
bar: 1  ==0               | 0               | 0               | Note            | Note_Pitch_47   | Note_Duration_840 | Note_Velocity_48 | 0               |
bar: 1  ==0               | 0               | 0               | Note            | Note_Pitch_59   | Note_Duration_1320 | Note_Velocity_108 | 0               |
bar: 1  ==0               | 0               | 0               | Note            | Note_Pitch_47   | Note_Duration_840 | Note_Velocity_90 | 0               |
bar: 1  ==0               | 0               | 0               | Note            | Note_Pitch_47   | Note_Duration_360 | Note_Velocity_58 | 0               |
bar: 1  ==CONTI           | CONTI           | Beat_11         | Metrical        | 0               | 0               | Note_Velocity_58 | 0               |
